Date : 2021-09-11 21:49:28
Directory : c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project
Total : 157 files,  8153 codes, 422 comments, 786 blanks, all 9361 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                 | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\README.md                                                        | Markdown   |         19 |          0 |         10 |         29 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\android\app\build.gradle                                         | Groovy     |         46 |          3 |         11 |         60 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\android\app\src\debug\AndroidManifest.xml                        | XML        |          4 |          3 |          1 |          8 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\android\app\src\main\AndroidManifest.xml                         | XML        |         30 |         11 |          1 |         42 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\android\app\src\main\res\drawable-v21\launch_background.xml      | XML        |          4 |          7 |          2 |         13 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\android\app\src\main\res\drawable\launch_background.xml          | XML        |          4 |          7 |          2 |         13 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\android\app\src\main\res\values-night\styles.xml                 | XML        |          9 |          9 |          1 |         19 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\android\app\src\main\res\values\styles.xml                       | XML        |          9 |          9 |          1 |         19 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\android\app\src\profile\AndroidManifest.xml                      | XML        |          4 |          3 |          1 |          8 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\android\build.gradle                                             | Groovy     |         25 |          0 |          5 |         30 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\android\gradle.properties                                        | Properties |          3 |          0 |          1 |          4 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\android\gradle\wrapper\gradle-wrapper.properties                 | Properties |          5 |          1 |          1 |          7 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\android\settings.gradle                                          | Groovy     |          8 |          0 |          4 |         12 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\assets\anim\empty.json                                           | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\assets\anim\workouts\abs\inchworm.json                           | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\assets\anim\workouts\abs\plank-excercise.json                    | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\assets\anim\workouts\abs\seated-abs-circles.json                 | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\assets\anim\workouts\abs\squat-kick.json                         | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\assets\anim\workouts\leg\jumping-jack.json                       | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\assets\anim\workouts\leg\jumping-squats.json                     | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\assets\anim\workouts\leg\reverse-crunches.json                   | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\assets\anim\workouts\leg\step-up-on-chair.json                   | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\assets\anim\workouts\trophy-congratulation.json                  | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\assets\anim\workouts\warmup\lunge.json                           | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\assets\anim\workouts\warmup\shoulder-stretch.json                | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\assets\icons\Camera Icon.svg                                     | XML        |          3 |          0 |          1 |          4 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\assets\images\finish.svg                                         | XML        |          1 |          0 |          0 |          1 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\assets\workoutPlaceHolder.json                                   | JSON       |        125 |          0 |          0 |        125 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\ios\Runner\AppDelegate.swift                                     | Swift      |         12 |          0 |          2 |         14 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json      | JSON       |        122 |          0 |          1 |        123 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json    | JSON       |         23 |          0 |          1 |         24 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md        | Markdown   |          3 |          0 |          2 |          5 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\ios\Runner\Base.lproj\LaunchScreen.storyboard                    | XML        |         36 |          1 |          1 |         38 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\ios\Runner\Base.lproj\Main.storyboard                            | XML        |         25 |          1 |          1 |         27 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\ios\Runner\Runner-Bridging-Header.h                              | C++        |          1 |          0 |          1 |          2 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\constants\data.dart                                          | Dart       |         13 |          0 |          1 |         14 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\boxes.dart                                              | Dart       |          9 |          2 |          3 |         14 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\dataproviders\auth.dart                                 | Dart       |        111 |          3 |          6 |        120 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\dataproviders\reminder_dataProvider.dart                | Dart       |         17 |          1 |          6 |         24 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\dataproviders\report_dataProvider.dart                  | Dart       |         18 |          1 |          5 |         24 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\dataproviders\workoutPlan_dataProvider.dart             | Dart       |        264 |         11 |         13 |        288 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\dataproviders\workout_dataProvider.dart                 | Dart       |         22 |          2 |          8 |         32 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\models\day\day.dart                                     | Dart       |         13 |          1 |          5 |         19 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\models\exercise\exercise.dart                           | Dart       |         48 |          1 |          8 |         57 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\models\exercise\exercise.g.dart                         | Dart       |         50 |          4 |          8 |         62 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\models\models.dart                                      | Dart       |          1 |          0 |          1 |          2 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\models\reminder\reminder.dart                           | Dart       |          9 |          1 |          3 |         13 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\models\reminder\reminder.g.dart                         | Dart       |         32 |          4 |          8 |         44 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\models\report\report.dart                               | Dart       |         17 |          1 |          4 |         22 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\models\report\report.g.dart                             | Dart       |         38 |          4 |          8 |         50 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\models\user\roles.dart                                  | Dart       |          4 |          0 |          1 |          5 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\models\user\user.dart                                   | Dart       |         63 |          0 |          5 |         68 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\models\workoutPlan\workout_plan_response.dart           | Dart       |        131 |         17 |         22 |        170 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\models\workout\workout.dart                             | Dart       |         22 |          2 |          6 |         30 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\models\workout\workout.g.dart                           | Dart       |         38 |          4 |          8 |         50 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\repositories\reminder_repository.dart                   | Dart       |         14 |          1 |          5 |         20 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\repositories\report_repository.dart                     | Dart       |         12 |          1 |          4 |         17 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\repositories\user_repository.dart                       | Dart       |         61 |          6 |          9 |         76 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\repositories\workout_plan_repository.dart               | Dart       |         70 |          4 |         12 |         86 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\data\repositories\workout_repository.dart                    | Dart       |         52 |          3 |          6 |         61 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\auth_bloc\auth.dart                               | Dart       |          3 |          0 |          1 |          4 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\auth_bloc\auth_bloc.dart                          | Dart       |         36 |          1 |          5 |         42 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\auth_bloc\auth_event.dart                         | Dart       |         17 |          0 |         10 |         27 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\auth_bloc\auth_state.dart                         | Dart       |          9 |          0 |          6 |         15 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\login_bloc\login.dart                             | Dart       |          3 |          0 |          1 |          4 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\login_bloc\login_bloc.dart                        | Dart       |         32 |          2 |          4 |         38 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\login_bloc\login_event.dart                       | Dart       |         14 |          0 |          6 |         20 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\login_bloc\login_state.dart                       | Dart       |         16 |          0 |          9 |         25 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\register_bloc\register.dart                       | Dart       |          3 |          0 |          1 |          4 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\register_bloc\register_bloc.dart                  | Dart       |         38 |          0 |          3 |         41 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\register_bloc\register_event.dart                 | Dart       |         31 |          0 |          6 |         37 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\register_bloc\register_state.dart                 | Dart       |         20 |          0 |         10 |         30 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\reminder\reminder.dart                            | Dart       |          1 |          0 |          1 |          2 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\reminder\reminder_bloc.dart                       | Dart       |         33 |          3 |          5 |         41 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\reminder\reminder_event.dart                      | Dart       |         15 |          0 |          6 |         21 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\reminder\reminder_state.dart                      | Dart       |         12 |          0 |          6 |         18 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\report\report.dart                                | Dart       |          0 |          0 |          1 |          1 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\report\report_bloc.dart                           | Dart       |         27 |          0 |          6 |         33 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\report\report_event.dart                          | Dart       |         12 |          0 |          5 |         17 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\report\report_state.dart                          | Dart       |         11 |          0 |          5 |         16 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\ticker\ticker.dart                                | Dart       |          7 |          1 |          1 |          9 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\ticker\timer_bloc.dart                            | Dart       |         63 |          0 |         12 |         75 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\ticker\timer_event.dart                           | Dart       |         25 |          0 |          9 |         34 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\ticker\timer_state.dart                           | Dart       |         25 |          0 |         11 |         36 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\workout\workout.dart                              | Dart       |          3 |          0 |          1 |          4 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\workout\workout_bloc.dart                         | Dart       |         23 |          1 |          4 |         28 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\workout\workout_event.dart                        | Dart       |         13 |          0 |          5 |         18 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\workout\workout_state.dart                        | Dart       |         12 |          2 |          5 |         19 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\workout_plan\workout_plan_bloc.dart               | Dart       |        102 |          2 |         12 |        116 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\workout_plan\workout_plan_event.dart              | Dart       |         29 |          0 |         11 |         40 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\bloc\workout_plan\workout_plan_state.dart              | Dart       |         27 |          5 |         18 |         50 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\cubit\counter_cubit.dart                               | Dart       |          8 |          0 |          5 |         13 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\logic\cubit\counter_state.dart                               | Dart       |          5 |          0 |          2 |          7 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\main.dart                                                    | Dart       |        141 |         20 |         24 |        185 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\router.dart                                     | Dart       |         44 |          1 |          4 |         49 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\_routes.dart                            | Dart       |         17 |          1 |          1 |         19 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\auth\login.dart                         | Dart       |        257 |          3 |         14 |        274 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\auth\register.dart                      | Dart       |        669 |          4 |         14 |        687 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\congrats.dart                           | Dart       |        152 |         18 |          3 |        173 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\exercise_type.dart                      | Dart       |        102 |          5 |          6 |        113 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\favorites.dart                          | Dart       |         53 |          1 |          5 |         59 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\feed_detail.dart                        | Dart       |        168 |          3 |          5 |        176 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\feeds.dart                              | Dart       |         91 |          1 |          9 |        101 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\history.dart                            | Dart       |        116 |          2 |          7 |        125 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\home.dart                               | Dart       |         71 |          4 |          4 |         79 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\navigation_drawer.dart                  | Dart       |        109 |          4 |          3 |        116 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\plan\add_plan.dart                      | Dart       |         55 |          1 |          8 |         64 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\plan\exercise_wrapper.dart              | Dart       |         33 |          0 |          3 |         36 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\plan\my_plan.dart                       | Dart       |         90 |          5 |          7 |        102 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\profile.dart                            | Dart       |         81 |          0 |          3 |         84 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\reminder.dart                           | Dart       |        102 |          7 |         11 |        120 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\settings.dart                           | Dart       |        218 |          7 |          8 |        233 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\splash.dart                             | Dart       |         11 |          0 |          2 |         13 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\trainer_profile_public.dart             | Dart       |        148 |          0 |          4 |        152 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\screens\training.dart                           | Dart       |        160 |          4 |         10 |        174 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\exercise_type\exercise_appbar.dart      | Dart       |         48 |          0 |          3 |         51 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\exercise_type\exercise_item.dart        | Dart       |         80 |          3 |          5 |         88 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\exercise_type\exercise_modal.dart       | Dart       |        169 |          6 |         14 |        189 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\feeds\days_item.dart                    | Dart       |         19 |          0 |          3 |         22 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\feeds\days_wrapper.dart                 | Dart       |         19 |          0 |          3 |         22 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\feeds\feed_detail_header.dart           | Dart       |        123 |         36 |          3 |        162 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\feeds\feeds_item.dart                   | Dart       |        106 |          0 |          3 |        109 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\home\stat.dart                          | Dart       |         99 |          1 |          5 |        105 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\home\workout_item.dart                  | Dart       |         69 |          3 |          5 |         77 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\home\workout_progress.dart              | Dart       |         59 |          0 |          3 |         62 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\home\workouts.dart                      | Dart       |         18 |          2 |          4 |         24 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\navigation\counter_dialogue.dart        | Dart       |        104 |          0 |          5 |        109 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\navigation\delete_account_dialogue.dart | Dart       |         48 |          0 |          4 |         52 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\navigation\menu_item.dart               | Dart       |         25 |          1 |          2 |         28 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\navigation\navigtion_header.dart        | Dart       |         62 |          0 |          2 |         64 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\navigation\reset_dialog.dart            | Dart       |         48 |          0 |          4 |         52 |
| c:\Users\Maruf\Documents\GitHub\Workout-Flutter-Project\lib\presentation\widgets\plan\my_plan\plan_item.dart             | Dart       |        179 |          1 |          6 |        186 |
